Pali Canon,Cânone Pālī
5 Hindrances,5 Estorvos
the abhijjha,a Abhijjhā
the abhijjhā,a Abhijjhā
the avijja,a Avijjā
the avijjā,a Avijjā
the cetana,a Cetanā
the cetanā,a Cetanā
the bottom line,a conclusão é
the ditthi,a Diṭṭhi
the gati,a Gati
the karuna,a Karuṇā
the karuṇā,a Karuṇā
the metta,a Mettā
the mettā,a Mettā
the panna,a Paññā
the paññā,a Paññā
the paramita,a Pāramitā
the saddha,a Saddhā
the saddhā,a Saddhā
the sati,a Sati
the tanha,a Taṇhā
the taṇhā,a Taṇhā
the upekkha,a Upekkhā
the upekkhā,a Upekkhā
the vedana,a Vedanā
the vedanā,a Vedanā
the vimutti,a Vimutti
the visuddhi,a Visuddhi
Abhabba,Abhabba
abhidhamma,Abhidhamma
Abhidhamma,Abhidhamma
abhijjhā,Abhijjhā
Abhijjhā,Abhijjhā
Abhijjhādomanassa,Abhijjhādomanassa
abhijjhādomanassaṃ,abhijjhādomanassaṃ
abhijjhādomanassan,abhijjhādomanassan
abhiññā,Abhiññā
Abhisamaya,Abhisamaya
abhisaṅkhāra,Abhisaṅkhāra
Abhisaṅkhāra,Abhisaṅkhāra
abhisaṅkhārā,abhisaṅkhārā
Acarima,Acarimaṃ
āciṇṇa kamma,Āciṇṇa Kamma
Adhicitta,Adhicitta
Adhimokkha,Adhimokkha
Adhipaññā,Adhipaññā
Adhisīla,Adhisīla
adhiṭṭhāna,Adhiṭṭhāna
ādīnava,Ādīnava
Adinnādānā,Adinnādānā
adosa,Adosa
Adosa,Adosa
agati,Agati
Agati,Agati
Aggi,Aggi
boiling water,água fervente
āhāraja rūpa,Āhāraja Rūpa
Ahetuka,Ahetuka
Ahiri,Ahiri
ahosi,ahosi
Ahosi Kamma,Ahosi Kamma
ājīva,Ājīva
Ajjava,Ajjava
Akāliko,Akāliko
ākāsa dhātu,Ākāsa Dhātu
ākāsānañcāyatana,Ākāsānañcāyatana
ākiñcaññāyatana,Ākiñcaññāyatana
Akiriya,Akiriya
akusala,Akusala
Akusala,Akusala
akusala cetasika,Akusala Cetasika
akusala citta,Akusala Citta
akusala kamma,Akusala Kamma
Akusala-mūla,Akusala-mūla
akusalaṁ,akusalaṁ
food for thought,alimento para reflexão
alobha,Alobha
Alobha,Alobha
Amata,Amata
amoha,Amoha
Amoha,Amoha
anagami,Anāgāmī
Anāgāmimagga,Anāgāmimagga
Anāgāmiphala,Anāgāmiphala
anāgata bhava,Anāgata Bhava
anantara,Anantara
Anantara,Anantara
Anantarika Kamma,Anantarika Kamma
anapana,Ānāpāna
Anapana,Ānāpāna
ānāpāna,Ānāpāna
Ānāpāna,Ānāpāna
ānāpānasati,Ānāpānasati
ānāpānasati bhāvanā,Ānāpānasati Bhāvanā
anariya,Anariya
Anariya,Anariya
anāsava,Anāsava
anatta,Anattā
anattānu,anattānu
anattānupassanā,Anattānupassanā
